       Step     Time          Energy          fmax
LBFGS:    0 15:18:19     -132.402985        5.445870
LBFGS:    1 15:18:21     -132.657990        2.400835
LBFGS:    2 15:18:24     -132.814194        1.341249
LBFGS:    3 15:18:26     -132.905197        0.827265
LBFGS:    4 15:18:28     -132.964401        0.868987
LBFGS:    5 15:18:30     -132.988174        0.739923
LBFGS:    6 15:18:32     -133.052460        0.537585
LBFGS:    7 15:18:34     -133.063644        0.424189
LBFGS:    8 15:18:35     -133.075821        0.244315
LBFGS:    9 15:18:37     -133.079758        0.212204
LBFGS:   10 15:18:40     -133.082397        0.202607
LBFGS:   11 15:18:42     -133.084625        0.152676
