       Step     Time          Energy          fmax
LBFGS:    0 11:54:47     -151.171982        1.620964
LBFGS:    1 11:54:51     -151.232834        1.299082
LBFGS:    2 11:54:54     -151.328415        0.724443
LBFGS:    3 11:54:57     -151.355469        0.754526
LBFGS:    4 11:55:00     -151.381912        0.576918
LBFGS:    5 11:55:03     -151.405258        0.493763
LBFGS:    6 11:55:06     -151.426575        0.683385
LBFGS:    7 11:55:08     -151.449417        0.663585
LBFGS:    8 11:55:11     -151.501221        0.678064
LBFGS:    9 11:55:14     -151.566132        0.830719
LBFGS:   10 11:55:17     -151.620392        0.884313
LBFGS:   11 11:55:20     -151.648178        0.618925
LBFGS:   12 11:55:22     -151.676804        0.613817
LBFGS:   13 11:55:25     -151.697983        0.763826
LBFGS:   14 11:55:28     -151.725861        0.810474
LBFGS:   15 11:55:31     -151.750427        0.647738
LBFGS:   16 11:55:34     -151.773346        0.352812
LBFGS:   17 11:55:36     -151.783096        0.288585
LBFGS:   18 11:55:39     -151.792053        0.355657
LBFGS:   19 11:55:42     -151.803268        0.333255
LBFGS:   20 11:55:45     -151.812424        0.228963
LBFGS:   21 11:55:48     -151.818115        0.236877
LBFGS:   22 11:55:51     -151.822525        0.195802
