       Step     Time          Energy          fmax
LBFGS:    0 15:20:18     -130.243744        5.103843
LBFGS:    1 15:20:22     -130.533951        2.654192
LBFGS:    2 15:20:24     -130.728149        1.196106
LBFGS:    3 15:20:26     -130.801712        0.593524
LBFGS:    4 15:20:27     -130.818558        0.502428
LBFGS:    5 15:20:28     -130.835587        0.411639
LBFGS:    6 15:20:30     -130.863449        0.507295
LBFGS:    7 15:20:31     -130.893616        0.519121
LBFGS:    8 15:20:32     -130.915497        0.386305
LBFGS:    9 15:20:34     -130.927856        0.263771
LBFGS:   10 15:20:35     -130.934036        0.257902
LBFGS:   11 15:20:36     -130.938858        0.251546
LBFGS:   12 15:20:38     -130.948196        0.235724
LBFGS:   13 15:20:39     -130.956436        0.238310
LBFGS:   14 15:20:41     -130.963364        0.304838
LBFGS:   15 15:20:42     -130.969543        0.337670
LBFGS:   16 15:20:43     -130.979156        0.328286
LBFGS:   17 15:20:45     -130.991547        0.337641
LBFGS:   18 15:20:46     -131.010239        0.417903
LBFGS:   19 15:20:47     -131.035904        0.493380
LBFGS:   20 15:20:49     -131.067932        0.606521
LBFGS:   21 15:20:50     -131.099823        0.751742
LBFGS:   22 15:20:51     -131.111786        0.722770
LBFGS:   23 15:20:53     -131.130173        0.576682
LBFGS:   24 15:20:54     -131.146240        0.318842
LBFGS:   25 15:20:55     -131.153809        0.273323
LBFGS:   26 15:20:57     -131.158554        0.156975
