       Step     Time          Energy          fmax
LBFGS:    0 12:14:40     -152.451233        2.399292
LBFGS:    1 12:14:43     -152.576080        1.961614
LBFGS:    2 12:14:45     -152.913895        1.234254
LBFGS:    3 12:14:47     -152.950851        0.857413
LBFGS:    4 12:14:50     -152.983841        0.803848
LBFGS:    5 12:14:52     -153.129196        1.201559
LBFGS:    6 12:14:54     -153.212021        2.051410
LBFGS:    7 12:14:56     -153.250122        0.957179
LBFGS:    8 12:14:59     -153.289764        0.746433
LBFGS:    9 12:15:01     -153.308868        1.109118
LBFGS:   10 12:15:04     -153.321030        0.591081
LBFGS:   11 12:15:07     -153.332886        0.376848
LBFGS:   12 12:15:09     -153.337845        0.534237
LBFGS:   13 12:15:12     -153.343658        0.361973
LBFGS:   14 12:15:14     -153.346039        0.184546
