       Step     Time          Energy          fmax
LBFGS:    0 12:02:31     -151.464951        1.866764
LBFGS:    1 12:02:36     -151.508209        0.957164
LBFGS:    2 12:02:39     -151.546951        1.326816
LBFGS:    3 12:02:42     -151.600204        1.451496
LBFGS:    4 12:02:44     -151.670929        1.098137
LBFGS:    5 12:02:47     -151.718536        0.801877
LBFGS:    6 12:02:50     -151.785660        0.945832
LBFGS:    7 12:02:53     -151.877625        1.546497
LBFGS:    8 12:02:56     -151.992905        1.608076
LBFGS:    9 12:02:59     -152.066071        1.086582
LBFGS:   10 12:03:02     -152.098328        0.595225
LBFGS:   11 12:03:04     -152.106369        0.205873
LBFGS:   12 12:03:08     -152.107956        0.172898
