       Step     Time          Energy          fmax
LBFGS:    0 15:22:30    -4450.824073        1.285784
LBFGS:    1 15:22:43    -4450.853192        0.654658
LBFGS:    2 15:22:56    -4450.877609        0.578996
LBFGS:    3 15:23:09    -4450.890883        0.381185
LBFGS:    4 15:23:21    -4450.898885        0.336042
LBFGS:    5 15:23:34    -4450.907785        0.370368
LBFGS:    6 15:23:48    -4450.920605        0.539913
LBFGS:    7 15:24:01    -4450.942192        0.737308
LBFGS:    8 15:24:15    -4450.968302        0.674507
LBFGS:    9 15:24:29    -4450.982949        0.343056
LBFGS:   10 15:24:42    -4450.986674        0.134193
