       Step     Time          Energy          fmax
LBFGS:    0 15:28:30     -129.541656        2.490650
LBFGS:    1 15:28:33     -129.651428        1.562456
LBFGS:    2 15:28:34     -129.930893        1.744549
LBFGS:    3 15:28:36     -130.038467        1.267934
LBFGS:    4 15:28:37     -130.103531        0.972341
LBFGS:    5 15:28:39     -130.212418        1.042534
LBFGS:    6 15:28:40     -130.314728        1.307250
LBFGS:    7 15:28:42     -130.474701        1.653049
LBFGS:    8 15:28:43     -130.597351        1.643623
LBFGS:    9 15:28:45     -130.697052        1.112882
LBFGS:   10 15:28:46     -130.753983        0.586699
LBFGS:   11 15:28:47     -130.776535        0.594585
LBFGS:   12 15:28:49     -130.812973        0.520510
LBFGS:   13 15:28:50     -130.841629        0.705129
LBFGS:   14 15:28:52     -130.866501        0.477896
LBFGS:   15 15:28:53     -130.885544        0.342222
LBFGS:   16 15:28:55     -130.891418        0.349324
LBFGS:   17 15:28:56     -130.896622        0.289597
LBFGS:   18 15:28:57     -130.904449        0.272261
LBFGS:   19 15:28:59     -130.914490        0.291641
LBFGS:   20 15:29:00     -130.920197        0.236999
LBFGS:   21 15:29:02     -130.926392        0.197322
