       Step     Time          Energy          fmax
LBFGS:    0 15:58:12    -4450.427935        1.208376
LBFGS:    1 15:58:25    -4450.456334        0.862735
LBFGS:    2 15:58:39    -4450.488037        0.578375
LBFGS:    3 15:58:52    -4450.503746        0.353117
LBFGS:    4 15:59:05    -4450.509903        0.359410
LBFGS:    5 15:59:18    -4450.513793        0.303320
LBFGS:    6 15:59:31    -4450.518271        0.280929
LBFGS:    7 15:59:45    -4450.522415        0.279108
LBFGS:    8 15:59:58    -4450.525593        0.173815
