       Step     Time          Energy          fmax
LBFGS:    0 15:31:06    -4445.948722        4.165316
LBFGS:    1 15:31:20    -4446.378475        2.444253
LBFGS:    2 15:31:35    -4446.688371        3.612517
LBFGS:    3 15:31:49    -4446.905156        2.159169
LBFGS:    4 15:32:03    -4447.093129        1.769872
LBFGS:    5 15:32:18    -4447.466205        2.568679
LBFGS:    6 15:32:32    -4447.802660        2.170073
LBFGS:    7 15:32:47    -4448.087954        1.864834
LBFGS:    8 15:33:01    -4448.332833        1.720428
LBFGS:    9 15:33:15    -4448.561154        2.065051
LBFGS:   10 15:33:29    -4448.775764        1.868408
LBFGS:   11 15:33:43    -4448.939246        1.178194
LBFGS:   12 15:33:57    -4449.019429        0.393702
LBFGS:   13 15:34:10    -4449.027626        0.334374
LBFGS:   14 15:34:23    -4449.037001        0.303197
LBFGS:   15 15:34:34    -4449.044351        0.317614
LBFGS:   16 15:34:44    -4449.051248        0.320407
LBFGS:   17 15:34:54    -4449.058150        0.307395
LBFGS:   18 15:35:04    -4449.070210        0.384106
LBFGS:   19 15:35:14    -4449.086098        0.521930
LBFGS:   20 15:35:25    -4449.105985        0.521122
LBFGS:   21 15:35:35    -4449.121552        0.308713
LBFGS:   22 15:35:45    -4449.126602        0.087782
