       Step     Time          Energy          fmax
LBFGS:    0 15:35:50     -127.110901        1.954507
LBFGS:    1 15:35:54     -127.255051        1.689035
LBFGS:    2 15:35:56     -127.548141        2.926452
LBFGS:    3 15:35:58     -127.700844        1.698954
LBFGS:    4 15:36:00     -128.184097        2.029409
LBFGS:    5 15:36:03     -128.576065        2.905854
LBFGS:    6 15:36:05     -128.922791        2.690661
LBFGS:    7 15:36:07     -129.204529        2.101987
LBFGS:    8 15:36:09     -129.403458        1.313311
LBFGS:    9 15:36:11     -129.522888        0.768254
LBFGS:   10 15:36:14     -129.578720        0.716546
LBFGS:   11 15:36:16     -129.616730        0.633775
LBFGS:   12 15:36:18     -129.692123        0.684475
LBFGS:   13 15:36:20     -129.725800        0.689184
LBFGS:   14 15:36:22     -129.747696        0.608706
LBFGS:   15 15:36:24     -129.769638        0.534573
LBFGS:   16 15:36:27     -129.791840        0.527747
LBFGS:   17 15:36:29     -129.841034        0.783487
LBFGS:   18 15:36:31     -129.870697        0.646740
LBFGS:   19 15:36:33     -129.894958        0.179239
