       Step     Time          Energy          fmax
LBFGS:    0 12:06:55     -151.695282        1.002493
LBFGS:    1 12:06:59     -151.729462        0.859342
LBFGS:    2 12:07:02     -151.783081        0.752510
LBFGS:    3 12:07:05     -151.804718        0.775294
LBFGS:    4 12:07:08     -151.853195        0.716589
LBFGS:    5 12:07:11     -151.888962        0.712265
LBFGS:    6 12:07:14     -151.917053        0.601537
LBFGS:    7 12:07:16     -151.934875        0.697212
LBFGS:    8 12:07:20     -151.964966        0.632111
LBFGS:    9 12:07:22     -152.012009        0.699580
LBFGS:   10 12:07:25     -152.056854        0.624135
LBFGS:   11 12:07:28     -152.070007        0.328032
LBFGS:   12 12:07:31     -152.078445        0.291000
LBFGS:   13 12:07:34     -152.086456        0.419677
LBFGS:   14 12:07:37     -152.107986        0.523383
LBFGS:   15 12:07:39     -152.123108        0.525351
LBFGS:   16 12:07:42     -152.137299        0.361999
LBFGS:   17 12:07:45     -152.147842        0.376031
LBFGS:   18 12:07:48     -152.158463        0.472390
LBFGS:   19 12:07:51     -152.168976        0.297483
LBFGS:   20 12:07:54     -152.176620        0.209943
LBFGS:   21 12:07:56     -152.181335        0.238014
LBFGS:   22 12:07:59     -152.186630        0.274628
LBFGS:   23 12:08:02     -152.190872        0.205261
LBFGS:   24 12:08:05     -152.192200        0.115516
