      Step     Time          Energy          fmax
FIRE:    0 12:02:25       42.523036      397.200728
FIRE:    1 12:02:25       -7.817771      115.813792
FIRE:    2 12:02:25      -24.451035       45.009954
FIRE:    3 12:02:25      -29.605490       25.567229
FIRE:    4 12:02:25      -31.665321       27.213614
FIRE:    5 12:02:25      -33.582633       18.401113
FIRE:    6 12:02:26      -34.988212        9.297731
FIRE:    7 12:02:26      -35.421037        4.644651
FIRE:    8 12:02:26      -35.574238        4.600524
FIRE:    9 12:02:26      -35.865722        4.584508
FIRE:   10 12:02:26      -36.281444        4.828202
FIRE:   11 12:02:26      -36.835494        5.547902
FIRE:   12 12:02:26      -37.567291        5.909383
FIRE:   13 12:02:26      -38.312192        3.623395
FIRE:   14 12:02:26      -38.618279        1.959619
