      Step     Time          Energy          fmax
FIRE:    0 11:59:44       64.155319      397.148105
FIRE:    1 11:59:44        1.288184      138.936101
FIRE:    2 11:59:44      -22.175771       51.421565
FIRE:    3 11:59:44      -29.953274       21.348625
FIRE:    4 11:59:44      -32.376024       25.296366
FIRE:    5 11:59:44      -33.903065       20.645879
FIRE:    6 11:59:44      -35.227673       13.029895
FIRE:    7 11:59:44      -35.890811        7.335694
FIRE:    8 11:59:44      -35.804870        5.779061
FIRE:    9 11:59:44      -36.078181        5.633004
FIRE:   10 11:59:44      -36.635515        6.083968
FIRE:   11 11:59:44      -37.449477        5.459602
FIRE:   12 11:59:44      -38.221392        3.107032
FIRE:   13 11:59:44      -38.555375        2.308380
FIRE:   14 11:59:44      -38.483296        5.213519
FIRE:   15 11:59:44      -38.519311        4.922636
