       Step     Time          Energy          fmax
LBFGS:    0 11:54:47     -151.283646        2.847812
LBFGS:    1 11:54:51     -151.372299        1.364169
LBFGS:    2 11:54:54     -151.460388        1.469715
LBFGS:    3 11:54:57     -151.548767        0.798793
LBFGS:    4 11:55:00     -151.601791        0.748403
LBFGS:    5 11:55:03     -151.653275        0.826530
LBFGS:    6 11:55:06     -151.731384        0.979355
LBFGS:    7 11:55:09     -151.831039        0.947123
LBFGS:    8 11:55:11     -151.902390        1.056277
LBFGS:    9 11:55:14     -151.947601        0.806037
LBFGS:   10 11:55:17     -151.972809        0.392264
LBFGS:   11 11:55:20     -151.981140        0.294101
LBFGS:   12 11:55:23     -151.989059        0.304793
LBFGS:   13 11:55:25     -151.997559        0.263747
LBFGS:   14 11:55:28     -152.002045        0.177964
