       Step     Time          Energy          fmax
LBFGS:    0 14:31:03     -132.573349        3.042222
LBFGS:    1 14:31:05     -132.654663        0.639145
LBFGS:    2 14:31:06     -132.671356        0.681306
LBFGS:    3 14:31:08     -132.751755        1.465594
LBFGS:    4 14:31:10     -132.781509        0.825235
LBFGS:    5 14:31:12     -132.828522        0.605610
LBFGS:    6 14:31:14     -132.853088        0.703187
LBFGS:    7 14:31:16     -132.870483        0.743839
LBFGS:    8 14:31:18     -132.919830        0.353912
LBFGS:    9 14:31:20     -132.931808        0.232397
LBFGS:   10 14:31:22     -132.935608        0.186881
