       Step     Time          Energy          fmax
LBFGS:    0 12:10:46     -151.632507        0.914880
LBFGS:    1 12:10:50     -151.657562        0.716586
LBFGS:    2 12:10:53     -151.702621        0.732560
LBFGS:    3 12:10:56     -151.726715        0.806820
LBFGS:    4 12:10:59     -151.789780        0.898543
LBFGS:    5 12:11:02     -151.845642        1.018352
LBFGS:    6 12:11:05     -151.912949        0.903283
LBFGS:    7 12:11:07     -151.944183        0.617527
LBFGS:    8 12:11:10     -151.987274        0.531935
LBFGS:    9 12:11:13     -152.022461        0.579004
LBFGS:   10 12:11:16     -152.058685        0.459890
LBFGS:   11 12:11:19     -152.070724        0.327805
LBFGS:   12 12:11:22     -152.078613        0.338753
LBFGS:   13 12:11:24     -152.089249        0.319791
LBFGS:   14 12:11:27     -152.104233        0.527276
LBFGS:   15 12:11:30     -152.120865        0.564095
LBFGS:   16 12:11:33     -152.142563        0.465001
LBFGS:   17 12:11:36     -152.161514        0.537135
LBFGS:   18 12:11:38     -152.175079        0.421653
LBFGS:   19 12:11:41     -152.184479        0.270281
LBFGS:   20 12:11:44     -152.189713        0.220121
LBFGS:   21 12:11:47     -152.193207        0.277663
LBFGS:   22 12:11:50     -152.196457        0.208969
LBFGS:   23 12:11:53     -152.199173        0.126477
