      Step     Time          Energy          fmax
FIRE:    0 15:22:10      -37.164211       10.082994
FIRE:    1 15:22:10      -38.121779        4.086693
FIRE:    2 15:22:10      -38.506354        6.270603
FIRE:    3 15:22:10      -38.668792        4.789959
FIRE:    4 15:22:10      -38.846505        2.767773
FIRE:    5 15:22:10      -38.933772        2.105231
FIRE:    6 15:22:10      -38.956571        3.741198
FIRE:    7 15:22:10      -38.967555        3.598165
FIRE:    8 15:22:10      -38.988075        3.318709
FIRE:    9 15:22:10      -39.015503        2.916065
FIRE:   10 15:22:10      -39.046528        2.410223
FIRE:   11 15:22:10      -39.077831        1.828970
