dir,original,smiles,conf,method,energy,reactive
138,C(=O)(O[{M}])O[{M}],C(=O)(O[*])O[*],conf_1,MACE-MP,-199.748291,False
139,C(=O)(O[{M}])O,C(=O)(O[*])O,conf_23,MACE-MP,-204.757019,False
140,C(=O)(O)O,C(=O)(O)O,conf_44,MACE-MP,-208.466766,False
141,C(O_[{M}])(O[{M}])[{M}],C(O[*])(O[*])[*],conf_24,MACE-MP,-197.595322,False
142,C(=O)(O_[{M}])[{M}],C(=O)(O[*])[*],conf_16,MACE-MP,-194.031586,False
143,C([{M}])(O)(O)O,C([*])(O)(O)O,conf_3,MACE-MP,-211.257965,False
144,C(C(=O)[{M}])([{M}])([{M}])[{M}],C(C(=O)[*])([*])([*])[*],conf_8,MACE-MP,-194.129364,False
145,C(=O)(C(O[{M}])[{M}])[{M}],C(=O)(C(O[*])[*])[*],conf_29,MACE-MP,-205.371613,True
146,C(=O)(C([{M}])[{M}])O[{M}],C(=O)(C([*])[*])O[*],conf_25,MACE-MP,-204.606537,False
147,C(=O)(C([{M}])O)[{M}],C(=O)(C([*])O)[*],conf_34,MACE-MP,-208.979492,False
148,C(=O)(C([{M}])[{M}])O,C(=O)(C([*])[*])O,conf_20,MACE-MP,-209.314453,False
149,C(=O)(O[{M}])CO[{M}],C(=O)(O[*])CO[*],conf_8,MACE-MP,-216.387299,False
150,C(=O)(CO[{M}])O,C(=O)(CO[*])O,conf_8,MACE-MP,-220.283905,False
151,C(=O)(CO)O[{M}],C(=O)(CO)O[*],conf_1,MACE-MP,-220.716278,False
152,C(=O)(CO)O,C(=O)(CO)O,conf_44,MACE-MP,-224.316437,False
153,C(O_[{M}])(O[{M}])([{M}])C,C(O[*])(O[*])([*])C,conf_69,MACE-MP,-214.378876,False
154,C(=O)(O_[{M}])C[{M}],C(=O)(O[*])C[*],conf_44,MACE-MP,-209.623184,False
155,C(C(O[{M}])([{M}])[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])([*])[*])(O[*])([*])[*],conf_86,MACE-MP,-201.300690,False
156,C(C(O[{M}])(O[{M}])[{M}])([{M}])([{M}])[{M}],C(C(O[*])(O[*])[*])([*])([*])[*],conf_25,MACE-MP,-200.142212,False
157,C(C(O[{M}])([{M}])[{M}])([{M}])([{M}])O,C(C(O[*])([*])[*])([*])([*])O,conf_46,MACE-MP,-204.693573,False
158,C(C([{M}])([{M}])[{M}])(O[{M}])([{M}])O,C(C([*])([*])[*])(O[*])([*])O,conf_20,MACE-MP,-204.417267,False
159,C(C([{M}])([{M}])[{M}])([{M}])([{M}])O,C(C([*])([*])[*])([*])([*])O,conf_10,MACE-MP,-197.189331,False
160,C(C=O)(O[{M}])([{M}])[{M}],C(C=O)(O[*])([*])[*],conf_18,MACE-MP,-205.341278,False
161,C(C(O[{M}])O[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])O[*])(O[*])([*])[*],conf_28,MACE-MP,-212.224442,False
162,C(C(O[{M}])[{M}])(O[{M}])(O[{M}])[{M}],C(C(O[*])[*])(O[*])(O[*])[*],conf_10,MACE-MP,-212.638443,False
163,C(C(O[{M}])O)(O[{M}])([{M}])[{M}],C(C(O[*])O)(O[*])([*])[*],conf_56,MACE-MP,-289.683960,False
164,C(C(O[{M}])[{M}])(O[{M}])([{M}])O,C(C(O[*])[*])(O[*])([*])O,conf_77,MACE-MP,-216.489471,False
165,C(C(O[{M}])(O[{M}])O[{M}])([{M}])[{M}],C(C(O[*])(O[*])O[*])([*])[*],conf_4,MACE-MP,-211.503052,False
166,C(C([{M}])O)(O[{M}])(O[{M}])[{M}],C(C([*])O)(O[*])(O[*])[*],conf_66,MACE-MP,-216.304245,False
167,C(C([{M}])[{M}])(O[{M}])(O[{M}])O,C(C([*])[*])(O[*])(O[*])O,conf_15,MACE-MP,-214.148224,False
168,C(C(O)O)(O[{M}])([{M}])[{M}],C(C(O)O)(O[*])([*])[*],conf_44,MACE-MP,-219.164185,False
169,C(C([{M}])O)(O[{M}])([{M}])O,C(C([*])O)(O[*])([*])O,conf_34,MACE-MP,-220.213852,False
170,C(C([{M}])O)([{M}])([{M}])O,C(C([*])O)([*])([*])O,conf_43,MACE-MP,-212.290466,False
171,C(C([{M}])[{M}])(O[{M}])(O)O,C(C([*])[*])(O[*])(O)O,conf_15,MACE-MP,-217.826096,False
172,C(C([{M}])[{M}])([{M}])(O)O,C(C([*])[*])([*])(O)O,conf_45,MACE-MP,-212.834442,False
173,C(CO[{M}])([{M}])(O)O,C(CO[*])([*])(O)O,conf_6,MACE-MP,-223.696579,False
174,C(CO)([{M}])(O)O,C(CO)([*])(O)O,conf_6,MACE-MP,-227.808167,False
175,C(C[{M}])(O)(O)O,C(C[*])(O)(O)O,conf_0,MACE-MP,-227.420288,False
176,C(C=O)([{M}])([{M}])O,C(C=O)([*])([*])O,conf_17,MACE-MP,-208.723526,False
177,C(=O)C=O,C(=O)C=O,conf_39,MACE-MP,-209.060089,False
178,C(C=O)(O[{M}])O[{M}],C(C=O)(O[*])O[*],conf_25,MACE-MP,-216.200272,False
179,C(=O)C(O[{M}])O,C(=O)C(O[*])O,conf_5,MACE-MP,-219.611160,False
180,C(C=O)(O)O,C(C=O)(O)O,conf_21,MACE-MP,-223.707764,False
181,C(CO_[{M}])(O[{M}])[{M}],C(CO[*])(O[*])[*],conf_31,MACE-MP,-212.854950,False
182,C(=O)(CO_[{M}])[{M}],C(=O)(CO[*])[*],conf_38,MACE-MP,-208.805466,False
183,C(=O)C(O_[{M}])[{M}],C(=O)C(O[*])[*],conf_46,MACE-MP,-209.176926,False
184,C(C(O[{M}])O[{M}])([{M}])([{M}])O,C(C(O[*])O[*])([*])([*])O,conf_20,MACE-MP,-222.657516,False
185,C(C(O[{M}])O)([{M}])([{M}])O,C(C(O[*])O)([*])([*])O,conf_42,MACE-MP,-218.684814,False
186,C(C(O)O)([{M}])([{M}])[{M}],C(C(O)O)([*])([*])[*],conf_19,MACE-MP,-211.878540,False
187,C(C(O[{M}])[{M}])([{M}])(O)O,C(C(O[*])[*])([*])(O)O,conf_40,MACE-MP,-219.941010,False
188,C(C([{M}])O)(O)O,C(C([*])O)(O)O,conf_0,MACE-MP,-227.299530,False
189,C(O_[{M}])([{M}])[{M}],C(O[*])([*])[*],conf_38,MACE-MP,-189.578751,False
190,O(CO[{M}])_[{M}],O(CO[*])[*],conf_0,MACE-MP,-201.211975,False
191,C(O_[{M}])O,C(O[*])O,conf_5,MACE-MP,-204.548309,False
192,C(O_[{M}])(O[{M}])([{M}])[{M}],C(O[*])(O[*])([*])[*],conf_71,MACE-MP,-194.033310,False
193,C(O_[{M}])(O[{M}])O[{M}],C(O[*])(O[*])O[*],conf_14,MACE-MP,-204.571793,False
194,C(O_[{M}])(O[{M}])O,C(O[*])(O[*])O,conf_40,MACE-MP,-208.405746,False
195,C(O_[{M}])([{M}])O,C(O[*])([*])O,conf_23,MACE-MP,-201.263763,False
196,C(=O)(O_[{M}])O[{M}],C(=O)(O[*])O[*],conf_1,MACE-MP,-199.748291,False
197,C(=O)(O_[{M}])O,C(=O)(O[*])O,conf_23,MACE-MP,-204.757019,False
198,C(C(=O)O[{M}])([{M}])([{M}])[{M}],C(C(=O)O[*])([*])([*])[*],conf_20,MACE-MP,-199.549133,False
199,C(=O)(C(O[{M}])([{M}])[{M}])[{M}],C(=O)(C(O[*])([*])[*])[*],conf_56,MACE-MP,-201.296982,False
200,C(C(=O)O)([{M}])([{M}])[{M}],C(C(=O)O)([*])([*])[*],conf_21,MACE-MP,-204.422287,False
201,C(C(=O)[{M}])([{M}])([{M}])O,C(C(=O)[*])([*])([*])O,conf_18,MACE-MP,-204.695175,False
202,C(=O)(C=O)[{M}],C(=O)(C=O)[*],conf_12,MACE-MP,-205.367905,False
203,C(=O)(C(O[{M}])O[{M}])[{M}],C(=O)(C(O[*])O[*])[*],conf_33,MACE-MP,-212.712479,True
204,C(=O)(C(O[{M}])[{M}])O[{M}],C(=O)(C(O[*])[*])O[*],conf_59,MACE-MP,-212.626450,False
205,C(=O)(C(O[{M}])O)[{M}],C(=O)(C(O[*])O)[*],conf_21,MACE-MP,-215.891098,False
206,C(=O)(C(O[{M}])[{M}])O,C(=O)(C(O[*])[*])O,conf_5,MACE-MP,-216.317932,False
207,C(=O)(C([{M}])O)O[{M}],C(=O)(C([*])O)O[*],conf_25,MACE-MP,-216.276230,False
208,C(=O)(C(O)O)[{M}],C(=O)(C(O)O)[*],conf_21,MACE-MP,-219.765030,False
209,C(=O)(C([{M}])O)O,C(=O)(C([*])O)O,conf_0,MACE-MP,-220.104645,False
210,C(O_[{M}])(O[{M}])(C[{M}])[{M}],C(O[*])(O[*])(C[*])[*],conf_61,MACE-MP,-209.622787,False
211,C(O_[{M}])(O[{M}])(O[{M}])C,C(O[*])(O[*])(O[*])C,conf_30,MACE-MP,-220.638733,False
212,C(O_[{M}])(O[{M}])(O)C,C(O[*])(O[*])(O)C,conf_9,MACE-MP,-224.578018,False
213,C(O_[{M}])([{M}])(O)C,C(O[*])([*])(O)C,conf_5,MACE-MP,-218.120605,False
214,C(=O)(C([{M}])[{M}])O_[{M}],C(=O)(C([*])[*])O[*],conf_25,MACE-MP,-204.606537,False
215,C(=O)(CO[{M}])O_[{M}],C(=O)(CO[*])O[*],conf_10,MACE-MP,-216.411041,False
216,C(=O)(CO)O_[{M}],C(=O)(CO)O[*],conf_1,MACE-MP,-220.716278,False
217,C(C(O[{M}])(O[{M}])[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])(O[*])[*])(O[*])([*])[*],conf_64,MACE-MP,-208.505524,False
218,C(C(O[{M}])([{M}])[{M}])(O[{M}])([{M}])O,C(C(O[*])([*])[*])(O[*])([*])O,conf_23,MACE-MP,-212.619446,False
219,C(C(O[{M}])(O[{M}])O[{M}])([{M}])([{M}])[{M}],C(C(O[*])(O[*])O[*])([*])([*])[*],conf_36,MACE-MP,-205.104218,False
220,C(C(O[{M}])(O[{M}])O)([{M}])([{M}])[{M}],C(C(O[*])(O[*])O)([*])([*])[*],conf_15,MACE-MP,-210.793671,False
221,C(C(O[{M}])(O[{M}])[{M}])([{M}])([{M}])O,C(C(O[*])(O[*])[*])([*])([*])O,conf_22,MACE-MP,-211.744751,False
222,C(C([{M}])([{M}])O)(O[{M}])([{M}])O,C(C([*])([*])O)(O[*])([*])O,conf_17,MACE-MP,-215.497345,False
223,C(C(O[{M}])([{M}])[{M}])([{M}])(O)O,C(C(O[*])([*])[*])([*])(O)O,conf_70,MACE-MP,-215.888077,False
224,C(C([{M}])([{M}])O)([{M}])([{M}])O,C(C([*])([*])O)([*])([*])O,conf_1,MACE-MP,-208.022949,False
225,C(C([{M}])([{M}])[{M}])(O[{M}])(O)O,C(C([*])([*])[*])(O[*])(O)O,conf_14,MACE-MP,-215.488480,False
226,C(C([{M}])([{M}])[{M}])([{M}])(O)O,C(C([*])([*])[*])([*])(O)O,conf_44,MACE-MP,-208.600113,False
227,C(C=O)(O[{M}])(O[{M}])[{M}],C(C=O)(O[*])(O[*])[*],conf_10,MACE-MP,-212.622299,False
228,C(C=O)(O[{M}])([{M}])O,C(C=O)(O[*])([*])O,conf_1,MACE-MP,-216.491150,False
229,C(C(O)O)([{M}])([{M}])O,C(C(O)O)([*])([*])O,conf_12,MACE-MP,-222.810516,False
230,C(C([{M}])O)([{M}])(O)O,C(C([*])O)([*])(O)O,conf_23,MACE-MP,-223.491104,False
231,C(C([{M}])[{M}])(O)(O)O,C(C([*])[*])(O)(O)O,conf_6,MACE-MP,-222.600006,False
232,C(C=O)([{M}])(O)O,C(C=O)([*])(O)O,conf_21,MACE-MP,-219.895187,False
233,C(O[{M}])(CO_[{M}])([{M}])[{M}],C(O[*])(CO[*])([*])[*],conf_48,MACE-MP,-208.791733,False
234,C(C(O_[{M}])[{M}])(O[{M}])[{M}],C(C(O[*])[*])(O[*])[*],conf_90,MACE-MP,-209.218567,False
235,C(O[{M}])(O[{M}])CO_[{M}],C(O[*])(O[*])CO[*],conf_28,MACE-MP,-219.536850,False
236,C(CO_[{M}])(O[{M}])O,C(CO[*])(O[*])O,conf_10,MACE-MP,-223.497620,False
237,C(CO_[{M}])([{M}])O,C(CO[*])([*])O,conf_46,MACE-MP,-216.147827,False
238,C(=O)(C(O_[{M}])[{M}])[{M}],C(=O)(C(O[*])[*])[*],conf_29,MACE-MP,-205.371613,True
239,C(=O)(CO_[{M}])O[{M}],C(=O)(CO[*])O[*],conf_10,MACE-MP,-216.411041,False
240,C(=O)(CO_[{M}])O,C(=O)(CO[*])O,conf_8,MACE-MP,-220.283905,False
241,C(C=O)(O_[{M}])([{M}])[{M}],C(C=O)(O[*])([*])[*],conf_18,MACE-MP,-205.341278,False
242,C(=O)C(O_[{M}])O[{M}],C(=O)C(O[*])O[*],conf_4,MACE-MP,-216.334229,False
243,C(=O)C(O_[{M}])O,C(=O)C(O[*])O,conf_5,MACE-MP,-219.611160,False
244,C(O_[{M}])([{M}])([{M}])[{M}],C(O[*])([*])([*])[*],conf_21,MACE-MP,-186.280640,False
