dir,original,smiles,conf,method,energy,reactive
294,C(C(O[{M}])[{M}])(O_[{M}])(O[{M}])[{M}],C(C(O[*])[*])(O[*])(O[*])[*],conf_10,MACE-MP,-212.638443,False
295,C(C(O_[{M}])(O[{M}])O[{M}])([{M}])[{M}],C(C(O[*])(O[*])O[*])([*])[*],conf_4,MACE-MP,-211.503052,False
296,C(C([{M}])O)(O_[{M}])(O[{M}])[{M}],C(C([*])O)(O[*])(O[*])[*],conf_66,MACE-MP,-216.304245,False
297,C(C([{M}])[{M}])(O_[{M}])(O[{M}])O,C(C([*])[*])(O[*])(O[*])O,conf_15,MACE-MP,-214.148224,False
298,C(C([{M}])[{M}])(O_[{M}])([{M}])O,C(C([*])[*])(O[*])([*])O,conf_26,MACE-MP,-209.333099,False
299,C(CO[{M}])(O_[{M}])([{M}])O,C(CO[*])(O[*])([*])O,conf_37,MACE-MP,-220.396118,False
300,C(CO)(O_[{M}])([{M}])O,C(CO)(O[*])([*])O,conf_1,MACE-MP,-224.580444,False
301,C(O_[{M}])(C[{M}])(O)O,C(O[*])(C[*])(O)O,conf_35,MACE-MP,-222.889282,False
302,C(C(=O)O_[{M}])(O[{M}])([{M}])[{M}],C(C(=O)O[*])(O[*])([*])[*],conf_1,MACE-MP,-208.576233,False
303,C(C(=O)O_[{M}])([{M}])([{M}])O,C(C(=O)O[*])([*])([*])O,conf_18,MACE-MP,-211.716125,False
304,C(C(O_[{M}])([{M}])[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])([*])[*])(O[*])([*])[*],conf_86,MACE-MP,-201.300690,False
305,C(C(O_[{M}])O[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])O[*])(O[*])([*])[*],conf_28,MACE-MP,-212.224442,False
306,C(C(O_[{M}])[{M}])(O[{M}])(O[{M}])[{M}],C(C(O[*])[*])(O[*])(O[*])[*],conf_10,MACE-MP,-212.638443,False
307,C(C(O_[{M}])O)(O[{M}])([{M}])[{M}],C(C(O[*])O)(O[*])([*])[*],conf_56,MACE-MP,-289.683960,False
308,C(C(O_[{M}])[{M}])(O[{M}])([{M}])O,C(C(O[*])[*])(O[*])([*])O,conf_77,MACE-MP,-216.489471,False
309,C(C(O_[{M}])[{M}])([{M}])([{M}])O,C(C(O[*])[*])([*])([*])O,conf_42,MACE-MP,-208.718124,False
310,C(CO_[{M}])([{M}])(O)O,C(CO[*])([*])(O)O,conf_6,MACE-MP,-223.696579,False
311,C(C(O[{M}])O[{M}])(O_[{M}])([{M}])[{M}],C(C(O[*])O[*])(O[*])([*])[*],conf_28,MACE-MP,-212.224442,False
312,C(C(O[{M}])O)(O_[{M}])([{M}])[{M}],C(C(O[*])O)(O[*])([*])[*],conf_56,MACE-MP,-289.683960,False
313,C(C(O[{M}])[{M}])(O_[{M}])([{M}])O,C(C(O[*])[*])(O[*])([*])O,conf_77,MACE-MP,-216.489471,False
314,C(C([{M}])O)(O_[{M}])([{M}])[{M}],C(C([*])O)(O[*])([*])[*],conf_4,MACE-MP,-208.956070,False
315,C(C([{M}])O)(O_[{M}])O[{M}],C(C([*])O)(O[*])O[*],conf_43,MACE-MP,-219.840546,False
316,C(C([{M}])O)(O_[{M}])O,C(C([*])O)(O[*])O,conf_0,MACE-MP,-223.303497,False
317,C(C(O_[{M}])[{M}])(O)O,C(C(O[*])[*])(O)O,conf_19,MACE-MP,-223.682266,False
318,C(=O)(C(O_[{M}])(O[{M}])[{M}])[{M}],C(=O)(C(O[*])(O[*])[*])[*],conf_67,MACE-MP,-209.196991,True
319,C(C(=O)O[{M}])(O_[{M}])([{M}])[{M}],C(C(=O)O[*])(O[*])([*])[*],conf_1,MACE-MP,-208.576233,False
320,C(=O)(C(O_[{M}])([{M}])O)[{M}],C(=O)(C(O[*])([*])O)[*],conf_70,MACE-MP,-212.595764,False
321,C(=O)(C(O_[{M}])([{M}])[{M}])O,C(=O)(C(O[*])([*])[*])O,conf_28,MACE-MP,-212.561829,False
322,C(=O)(C(=O)[{M}])O_[{M}],C(=O)(C(=O)[*])O[*],conf_7,MACE-MP,-208.546539,False
323,C(C(O_[{M}])(O[{M}])O[{M}])([{M}])([{M}])[{M}],C(C(O[*])(O[*])O[*])([*])([*])[*],conf_18,MACE-MP,-205.060303,False
324,C(C(O_[{M}])(O[{M}])[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])(O[*])[*])(O[*])([*])[*],conf_64,MACE-MP,-208.549500,False
325,C(C(O_[{M}])(O[{M}])O)([{M}])([{M}])[{M}],C(C(O[*])(O[*])O)([*])([*])[*],conf_15,MACE-MP,-210.793655,False
326,C(C(O_[{M}])(O[{M}])[{M}])([{M}])([{M}])O,C(C(O[*])(O[*])[*])([*])([*])O,conf_22,MACE-MP,-211.747040,False
327,C(C([{M}])([{M}])[{M}])(O_[{M}])([{M}])O,C(C([*])([*])[*])(O[*])([*])O,conf_20,MACE-MP,-204.417343,False
328,C(C([{M}])O)(O_[{M}])([{M}])O,C(C([*])O)(O[*])([*])O,conf_4,MACE-MP,-225.954132,False
329,C(C([{M}])[{M}])(O_[{M}])(O)O,C(C([*])[*])(O[*])(O)O,conf_15,MACE-MP,-217.891510,False
330,C(C(O[{M}])(O[{M}])[{M}])(O_[{M}])([{M}])[{M}],C(C(O[*])(O[*])[*])(O[*])([*])[*],conf_64,MACE-MP,-208.549500,False
331,C(C(O[{M}])([{M}])[{M}])(O_[{M}])([{M}])O,C(C(O[*])([*])[*])(O[*])([*])O,conf_23,MACE-MP,-212.619446,False
332,C(C(O_[{M}])([{M}])[{M}])(O[{M}])([{M}])O,C(C(O[*])([*])[*])(O[*])([*])O,conf_23,MACE-MP,-212.619446,False
333,C(C(O_[{M}])([{M}])[{M}])([{M}])([{M}])O,C(C(O[*])([*])[*])([*])([*])O,conf_46,MACE-MP,-204.693573,False
334,C(C(O_[{M}])O[{M}])([{M}])([{M}])O,C(C(O[*])O[*])([*])([*])O,conf_20,MACE-MP,-222.657516,False
335,C(C(O_[{M}])O)([{M}])([{M}])O,C(C(O[*])O)([*])([*])O,conf_42,MACE-MP,-218.684814,False
336,C(C(O_[{M}])[{M}])([{M}])(O)O,C(C(O[*])[*])([*])(O)O,conf_40,MACE-MP,-219.941025,False
337,C(C(O)O)(O_[{M}])([{M}])[{M}],C(C(O)O)(O[*])([*])[*],conf_44,MACE-MP,-219.164185,False
338,C(C([{M}])([{M}])[{M}])(O_[{M}])(O)O,C(C([*])([*])[*])(O[*])(O)O,conf_14,MACE-MP,-215.488480,False
339,C(C([{M}])([{M}])O)(O_[{M}])([{M}])O,C(C([*])([*])O)(O[*])([*])O,conf_55,MACE-MP,-215.464386,False
340,C(C(O_[{M}])([{M}])[{M}])([{M}])(O)O,C(C(O[*])([*])[*])([*])(O)O,conf_53,MACE-MP,-215.883362,False
