       Step     Time          Energy          fmax
LBFGS:    0 14:49:29    -4447.505261        4.983070
LBFGS:    1 14:49:43    -4447.921544        2.986269
LBFGS:    2 14:49:56    -4448.338469        1.392531
LBFGS:    3 14:50:09    -4448.546872        1.577479
LBFGS:    4 14:50:23    -4448.747602        1.945533
LBFGS:    5 14:50:37    -4449.013444        2.240182
LBFGS:    6 14:50:50    -4449.302954        2.300400
LBFGS:    7 14:51:03    -4449.579553        2.180322
LBFGS:    8 14:51:13    -4449.832192        1.962850
LBFGS:    9 14:51:23    -4450.059899        1.719378
LBFGS:   10 14:51:33    -4450.257502        1.509258
LBFGS:   11 14:51:43    -4450.421428        1.361921
LBFGS:   12 14:51:53    -4450.550901        1.245740
LBFGS:   13 14:52:03    -4450.643765        0.990607
LBFGS:   14 14:52:13    -4450.687273        0.862062
LBFGS:   15 14:52:23    -4450.730082        0.618507
LBFGS:   16 14:52:32    -4450.761277        0.552218
LBFGS:   17 14:52:42    -4450.782336        0.530175
LBFGS:   18 14:52:51    -4450.797858        0.573072
LBFGS:   19 14:53:01    -4450.815894        0.546427
LBFGS:   20 14:53:11    -4450.842518        0.503605
LBFGS:   21 14:53:21    -4450.871365        0.373226
LBFGS:   22 14:53:31    -4450.887723        0.425645
LBFGS:   23 14:53:41    -4450.895734        0.281663
LBFGS:   24 14:53:50    -4450.897971        0.194009
