       Step     Time          Energy          fmax
LBFGS:    0 12:02:31      -44.268402      585.383179
LBFGS:    1 12:02:36     -102.239044      145.850235
LBFGS:    2 12:02:39     -121.037819       65.943314
LBFGS:    3 12:02:42     -127.050789       71.682678
LBFGS:    4 12:02:45     -135.394836      129.760162
LBFGS:    5 12:02:48     -135.578796      245.220215
LBFGS:    6 12:02:50     -145.990723      121.234734
LBFGS:    7 12:02:53     -139.876389      196.115723
LBFGS:    8 12:02:56     -169.248474      260.763428
LBFGS:    9 12:02:59     -198.138016      355.939178
LBFGS:   10 12:03:02     -233.169434     1290.507935
LBFGS:   11 12:03:05     -179.947205     1650.096680
LBFGS:   12 12:03:08     -154.317719     2539.817383
LBFGS:   13 12:03:11     -142.194809     2492.397705
LBFGS:   14 12:03:14     -180.045654     2630.149414
LBFGS:   15 12:03:17     -231.362320     2222.859131
LBFGS:   16 12:03:20     -266.606293     2956.868164
LBFGS:   17 12:03:23     -370.074554     3831.494385
LBFGS:   18 12:03:26     -465.902191     4563.744141
LBFGS:   19 12:03:29     -590.203857     5561.255371
LBFGS:   20 12:03:32     -642.594910     5455.375488
LBFGS:   21 12:03:34     -648.691406     6066.520020
LBFGS:   22 12:03:37     -673.860107     6491.212891
LBFGS:   23 12:03:40     -697.190918     6853.142578
LBFGS:   24 12:03:43     -701.362732     7026.610352
LBFGS:   25 12:03:46     -649.300537     6374.090820
LBFGS:   26 12:03:48     -720.053589     7162.840332
LBFGS:   27 12:03:51     -766.700439     7926.890137
LBFGS:   28 12:03:53     -815.975708     8498.476562
LBFGS:   29 12:03:55     -932.778076    19748.333984
LBFGS:   30 12:03:57     -888.005066    16199.270508
LBFGS:   31 12:03:59     -937.231506    19791.869141
LBFGS:   32 12:04:02     -943.189819    19841.623047
LBFGS:   33 12:04:04     -932.695923    19753.082031
LBFGS:   34 12:04:06     -919.904236    19512.531250
LBFGS:   35 12:04:08     -935.674194    19759.783203
LBFGS:   36 12:04:10     -950.915405    19998.066406
LBFGS:   37 12:04:12     -959.980164    20154.560547
LBFGS:   38 12:04:15     -971.504761    20372.669922
LBFGS:   39 12:04:17     -953.901978    20083.437500
LBFGS:   40 12:04:19     -935.597229    19757.537109
LBFGS:   41 12:04:21     -922.534912    19503.871094
LBFGS:   42 12:04:24     -912.884644    19300.775391
LBFGS:   43 12:04:26     -904.639038    19100.429688
LBFGS:   44 12:04:28     -908.580933    19131.095703
LBFGS:   45 12:04:30     -908.743591    19079.751953
LBFGS:   46 12:04:32     -908.318054    19120.701172
LBFGS:   47 12:04:35     -908.745605    19092.675781
LBFGS:   48 12:04:37     -908.731750    19018.839844
LBFGS:   49 12:04:39     -909.075012    18793.925781
LBFGS:   50 12:04:41     -908.752686    19089.251953
LBFGS:   51 12:04:43     -908.108215    19095.093750
LBFGS:   52 12:04:46     -909.074341    19037.398438
LBFGS:   53 12:04:48     -909.713989    18979.806641
LBFGS:   54 12:04:49     -910.540649    18913.671875
LBFGS:   55 12:04:51     -910.512268    18846.693359
LBFGS:   56 12:04:52     -909.967896    18927.980469
LBFGS:   57 12:04:54     -910.428040    18848.248047
LBFGS:   58 12:04:55     -910.002380    18792.511719
LBFGS:   59 12:04:57     -910.459717    18845.943359
LBFGS:   60 12:04:58     -910.521240    18842.162109
LBFGS:   61 12:05:00     -910.322327    18916.376953
LBFGS:   62 12:05:01     -910.625610    18825.148438
LBFGS:   63 12:05:03     -911.640869    18761.496094
LBFGS:   64 12:05:04     -910.662598    18824.699219
LBFGS:   65 12:05:05     -910.669434    18838.888672
LBFGS:   66 12:05:06     -910.671326    18822.173828
LBFGS:   67 12:05:07     -910.664429    18821.812500
LBFGS:   68 12:05:07     -913.087402    18796.917969
LBFGS:   69 12:05:08     -910.719116    18829.080078
LBFGS:   70 12:05:09     -910.634521    18834.869141
LBFGS:   71 12:05:09     -910.777466    18827.224609
LBFGS:   72 12:05:10     -910.828613    18829.519531
LBFGS:   73 12:05:11     -912.618652    19001.500000
LBFGS:   74 12:05:11     -914.637207    12674.331055
LBFGS:   75 12:05:12     -913.415527    18944.738281
LBFGS:   76 12:05:13     -913.336426    18850.150391
LBFGS:   77 12:05:14     -913.303589    18891.125000
LBFGS:   78 12:05:14     -913.313660    18859.570312
LBFGS:   79 12:05:15     -913.300415    18871.906250
LBFGS:   80 12:05:16     -913.316284    18857.187500
LBFGS:   81 12:05:16     -913.320923    18854.941406
LBFGS:   82 12:05:17     -913.385071    18840.218750
LBFGS:   83 12:05:18     -913.478699    18824.033203
LBFGS:   84 12:05:19     -913.824890    18790.453125
LBFGS:   85 12:05:19     -914.792480    18716.005859
LBFGS:   86 12:05:20     -913.872070    18802.830078
LBFGS:   87 12:05:21     -912.775452    18898.554688
LBFGS:   88 12:05:21     -913.982239    18814.468750
LBFGS:   89 12:05:22     -915.083557    18752.650391
LBFGS:   90 12:05:23     -913.982849    18815.113281
LBFGS:   91 12:05:23     -915.093872    18752.447266
LBFGS:   92 12:05:24     -913.984680    18816.669922
LBFGS:   93 12:05:25     -915.091492    18751.734375
LBFGS:   94 12:05:26     -916.334595    18692.509766
LBFGS:   95 12:05:26     -915.118042    18754.603516
LBFGS:   96 12:05:27     -914.100708    18841.798828
LBFGS:   97 12:05:28     -915.148254    18761.240234
LBFGS:   98 12:05:28     -916.307922    18707.945312
LBFGS:   99 12:05:29     -915.197083    18759.845703
LBFGS:  100 12:05:30     -914.237671    18823.564453
