       Step     Time          Energy          fmax
LBFGS:    0 14:58:23     -125.705437       20.006704
LBFGS:    1 14:58:24     -128.785339        8.306014
LBFGS:    2 14:58:25     -130.054993        3.745385
LBFGS:    3 14:58:25     -130.896729        2.698104
LBFGS:    4 14:58:26     -131.235382        2.030173
LBFGS:    5 14:58:26     -131.622284        1.650981
LBFGS:    6 14:58:27     -131.881866        1.709340
LBFGS:    7 14:58:27     -132.108917        1.472282
LBFGS:    8 14:58:28     -132.264725        1.269916
LBFGS:    9 14:58:28     -132.343597        0.687941
LBFGS:   10 14:58:29     -132.389114        0.698425
LBFGS:   11 14:58:29     -132.437500        0.992265
LBFGS:   12 14:58:30     -132.534332        1.118784
LBFGS:   13 14:58:30     -132.622269        0.962060
LBFGS:   14 14:58:31     -132.657791        0.695819
LBFGS:   15 14:58:32     -132.705093        0.532753
LBFGS:   16 14:58:32     -132.736435        0.505191
LBFGS:   17 14:58:33     -132.783920        0.482330
LBFGS:   18 14:58:33     -132.818008        0.453718
LBFGS:   19 14:58:34     -132.863068        0.379051
LBFGS:   20 14:58:34     -132.881119        0.451125
LBFGS:   21 14:58:35     -132.894379        0.407063
LBFGS:   22 14:58:35     -132.918289        0.597825
LBFGS:   23 14:58:36     -132.931992        0.529179
LBFGS:   24 14:58:37     -132.940262        0.239279
LBFGS:   25 14:58:37     -132.942612        0.209264
LBFGS:   26 14:58:38     -132.946991        0.195713
