       Step     Time          Energy          fmax
LBFGS:    0 12:22:14     -153.572678        1.669621
LBFGS:    1 12:22:15     -153.629623        0.942324
LBFGS:    2 12:22:16     -153.665283        0.605393
LBFGS:    3 12:22:18     -153.708374        0.577218
LBFGS:    4 12:22:19     -153.738525        0.614530
LBFGS:    5 12:22:20     -153.750809        0.517386
LBFGS:    6 12:22:21     -153.777054        0.587608
LBFGS:    7 12:22:22     -153.788605        0.398653
LBFGS:    8 12:22:23     -153.804611        0.541893
LBFGS:    9 12:22:24     -153.820023        0.553154
LBFGS:   10 12:22:26     -153.841751        0.563601
LBFGS:   11 12:22:27     -153.856598        0.478506
LBFGS:   12 12:22:28     -153.873322        0.523854
LBFGS:   13 12:22:29     -153.888275        0.585910
LBFGS:   14 12:22:30     -153.917038        0.525368
LBFGS:   15 12:22:31     -153.943054        0.636184
LBFGS:   16 12:22:32     -153.960052        0.507651
LBFGS:   17 12:22:34     -153.980728        0.999667
LBFGS:   18 12:22:35     -153.999115        0.887573
LBFGS:   19 12:22:36     -154.014709        0.626921
LBFGS:   20 12:22:37     -154.050125        0.396535
LBFGS:   21 12:22:37     -154.058121        0.253273
LBFGS:   22 12:22:39     -154.063629        0.179530
