       Step     Time          Energy          fmax
LBFGS:    0 14:33:53     -129.715622        4.237491
LBFGS:    1 14:33:53     -130.098022        2.681091
LBFGS:    2 14:33:54     -131.007172        1.430972
LBFGS:    3 14:33:55     -131.473724        1.167827
LBFGS:    4 14:33:55     -131.818497        1.500119
LBFGS:    5 14:33:56     -132.060120        1.845153
LBFGS:    6 14:33:56     -132.279800        1.730363
LBFGS:    7 14:33:57     -132.452866        0.943268
LBFGS:    8 14:33:57     -132.500381        0.647063
LBFGS:    9 14:33:58     -132.515900        0.531992
LBFGS:   10 14:33:58     -132.552399        0.764933
LBFGS:   11 14:33:59     -132.593109        0.621611
LBFGS:   12 14:34:00     -132.616592        0.439054
LBFGS:   13 14:34:00     -132.624710        0.397445
LBFGS:   14 14:34:01     -132.639618        0.406348
LBFGS:   15 14:34:01     -132.654694        0.436533
LBFGS:   16 14:34:02     -132.668488        0.528795
LBFGS:   17 14:34:02     -132.686295        0.484857
LBFGS:   18 14:34:03     -132.706116        0.677542
LBFGS:   19 14:34:03     -132.732712        0.708581
LBFGS:   20 14:34:04     -132.771210        0.739087
LBFGS:   21 14:34:04     -132.773438        0.345072
LBFGS:   22 14:34:05     -132.784912        0.231707
LBFGS:   23 14:34:06     -132.787201        0.100793
