       Step     Time          Energy          fmax
LBFGS:    0 12:04:04     -145.224487       13.841617
LBFGS:    1 12:04:05     -148.829407        3.578226
LBFGS:    2 12:04:07     -149.621429        3.022958
LBFGS:    3 12:04:09     -150.747849        2.524026
LBFGS:    4 12:04:10     -151.589172        2.330711
LBFGS:    5 12:04:12     -151.896759        2.703387
LBFGS:    6 12:04:13     -152.295212        2.788468
LBFGS:    7 12:04:15     -152.765884        1.750517
LBFGS:    8 12:04:17     -153.123032        1.425127
LBFGS:    9 12:04:19     -153.339539        1.534401
LBFGS:   10 12:04:21     -153.432388        1.084257
LBFGS:   11 12:04:22     -153.516876        0.713796
LBFGS:   12 12:04:24     -153.556702        0.471921
LBFGS:   13 12:04:26     -153.567749        0.474851
LBFGS:   14 12:04:28     -153.632401        1.326833
LBFGS:   15 12:04:30     -153.667725        1.103239
LBFGS:   16 12:04:31     -153.727722        0.794125
LBFGS:   17 12:04:33     -153.740143        0.312174
LBFGS:   18 12:04:35     -153.745270        0.297030
LBFGS:   19 12:04:36     -153.748886        0.286195
LBFGS:   20 12:04:38     -153.753586        0.269709
LBFGS:   21 12:04:39     -153.759888        0.363297
LBFGS:   22 12:04:41     -153.768921        0.412953
LBFGS:   23 12:04:42     -153.775726        0.306853
LBFGS:   24 12:04:44     -153.783829        0.259906
LBFGS:   25 12:04:45     -153.787796        0.189816
