       Step     Time          Energy          fmax
LBFGS:    0 12:02:31     -142.003723       10.019416
LBFGS:    1 12:02:36     -144.729034        4.739697
LBFGS:    2 12:02:39     -146.125931        6.739432
LBFGS:    3 12:02:42     -147.501144        2.981801
LBFGS:    4 12:02:45     -148.399811        2.550972
LBFGS:    5 12:02:48     -148.971970        1.961937
LBFGS:    6 12:02:51     -149.405060        2.025568
LBFGS:    7 12:02:53     -149.747192        2.033943
LBFGS:    8 12:02:56     -150.040009        1.976671
LBFGS:    9 12:02:59     -150.324997        1.526347
LBFGS:   10 12:03:02     -150.573471        1.573334
LBFGS:   11 12:03:05     -150.638214        1.102531
LBFGS:   12 12:03:08     -150.674713        0.465316
LBFGS:   13 12:03:11     -150.690323        0.537309
LBFGS:   14 12:03:14     -150.716614        0.644477
LBFGS:   15 12:03:17     -150.731186        0.614104
LBFGS:   16 12:03:20     -150.740921        0.384067
LBFGS:   17 12:03:23     -150.746048        0.244005
LBFGS:   18 12:03:25     -150.751999        0.240894
LBFGS:   19 12:03:28     -150.759903        0.343960
LBFGS:   20 12:03:31     -150.773880        0.382890
LBFGS:   21 12:03:34     -150.795776        0.481024
LBFGS:   22 12:03:37     -150.808228        0.468219
LBFGS:   23 12:03:40     -150.824753        0.377809
LBFGS:   24 12:03:43     -150.847610        0.524920
LBFGS:   25 12:03:46     -150.852859        0.212380
LBFGS:   26 12:03:48     -150.856247        0.204087
LBFGS:   27 12:03:50     -150.861664        0.224071
LBFGS:   28 12:03:52     -150.866943        0.234500
LBFGS:   29 12:03:55     -150.871521        0.224207
LBFGS:   30 12:03:57     -150.874527        0.246060
LBFGS:   31 12:03:59     -150.877106        0.241787
LBFGS:   32 12:04:01     -150.881897        0.190383
