       Step     Time          Energy          fmax
LBFGS:    0 12:14:03     -153.364014        1.801064
LBFGS:    1 12:14:06     -153.392319        0.704890
LBFGS:    2 12:14:08     -153.401276        0.591999
LBFGS:    3 12:14:11     -153.413574        0.245264
LBFGS:    4 12:14:13     -153.418076        0.271939
LBFGS:    5 12:14:16     -153.423737        0.294304
LBFGS:    6 12:14:18     -153.320206        1.698299
LBFGS:    7 12:14:20     -153.441772        0.256279
LBFGS:    8 12:14:23     -153.447174        0.309118
LBFGS:    9 12:14:25     -153.465088        0.468273
LBFGS:   10 12:14:28     -153.483734        0.635004
LBFGS:   11 12:14:30     -153.562775        1.071373
LBFGS:   12 12:14:32     -153.654160        1.270571
LBFGS:   13 12:14:34     -153.721603        1.322561
LBFGS:   14 12:14:37     -153.815704        0.950054
LBFGS:   15 12:14:39     -153.885239        0.900021
LBFGS:   16 12:14:41     -153.921753        0.779593
LBFGS:   17 12:14:44     -153.957840        0.634988
LBFGS:   18 12:14:47     -153.996155        0.511355
LBFGS:   19 12:14:49     -154.016876        0.441591
LBFGS:   20 12:14:52     -154.026505        0.495740
LBFGS:   21 12:14:55     -154.034378        0.418556
LBFGS:   22 12:14:57     -154.044754        0.463497
LBFGS:   23 12:14:59     -154.058090        0.516870
LBFGS:   24 12:15:01     -154.077881        0.720045
LBFGS:   25 12:15:04     -154.091736        0.496129
LBFGS:   26 12:15:06     -154.105530        0.473455
LBFGS:   27 12:15:09     -154.114929        0.501551
LBFGS:   28 12:15:11     -154.160629        1.031680
LBFGS:   29 12:15:13     -154.180710        1.192333
LBFGS:   30 12:15:15     -154.200516        0.969600
LBFGS:   31 12:15:17     -154.225677        0.764682
LBFGS:   32 12:15:19     -154.248215        0.364721
LBFGS:   33 12:15:21     -154.256699        0.512352
LBFGS:   34 12:15:22     -154.286621        0.653845
LBFGS:   35 12:15:24     -154.260040        0.412411
LBFGS:   36 12:15:25     -154.234161        0.521556
LBFGS:   37 12:15:26     -154.262421        0.338446
LBFGS:   38 12:15:28     -154.294785        0.613610
LBFGS:   39 12:15:29     -154.262955        0.361789
LBFGS:   40 12:15:30     -154.233307        0.582793
LBFGS:   41 12:15:31     -154.263931        0.371898
LBFGS:   42 12:15:32     -154.298004        0.624273
LBFGS:   43 12:15:33     -154.264557        0.374282
LBFGS:   44 12:15:34     -154.233963        0.565159
LBFGS:   45 12:15:35     -154.265396        0.363788
LBFGS:   46 12:15:36     -154.300339        0.600937
LBFGS:   47 12:15:37     -154.265869        0.359896
LBFGS:   48 12:15:38     -154.234619        0.544695
LBFGS:   49 12:15:39     -154.266403        0.352252
LBFGS:   50 12:15:40     -154.301636        0.591220
LBFGS:   51 12:15:41     -154.266647        0.355726
LBFGS:   52 12:15:42     -154.235016        0.539243
LBFGS:   53 12:15:43     -154.267059        0.346747
LBFGS:   54 12:15:44     -154.302322        0.590258
LBFGS:   55 12:15:45     -154.267105        0.356398
LBFGS:   56 12:15:46     -154.235153        0.539625
LBFGS:   57 12:15:47     -154.267456        0.339891
LBFGS:   58 12:15:48     -154.302765        0.591230
LBFGS:   59 12:15:49     -154.267426        0.359041
LBFGS:   60 12:15:50     -154.235352        0.539953
LBFGS:   61 12:15:51     -154.267822        0.335532
LBFGS:   62 12:15:52     -154.303177        0.594129
LBFGS:   63 12:15:53     -154.267731        0.359936
LBFGS:   64 12:15:54     -154.235580        0.541077
LBFGS:   65 12:15:55     -154.268127        0.334639
LBFGS:   66 12:15:56     -154.303543        0.593651
LBFGS:   67 12:15:57     -154.268021        0.359355
LBFGS:   68 12:15:58     -154.235809        0.542202
LBFGS:   69 12:15:59     -154.268402        0.335362
LBFGS:   70 12:16:00     -154.303818        0.591715
LBFGS:   71 12:16:01     -154.268250        0.357166
LBFGS:   72 12:16:02     -154.235962        0.542960
LBFGS:   73 12:16:03     -154.268555        0.336889
LBFGS:   74 12:16:04     -154.304031        0.589114
LBFGS:   75 12:16:05     -154.268463        0.354668
LBFGS:   76 12:16:06     -154.236069        0.543410
LBFGS:   77 12:16:07     -154.268707        0.338480
LBFGS:   78 12:16:08     -154.304199        0.586718
LBFGS:   79 12:16:09     -154.268631        0.352337
LBFGS:   80 12:16:10     -154.236160        0.543809
LBFGS:   81 12:16:11     -154.268814        0.339370
LBFGS:   82 12:16:12     -154.304291        0.584682
LBFGS:   83 12:16:13     -154.268753        0.350328
LBFGS:   84 12:16:14     -154.236267        0.544020
LBFGS:   85 12:16:15     -154.268906        0.339747
LBFGS:   86 12:16:16     -154.304367        0.583135
LBFGS:   87 12:16:17     -154.268860        0.349035
LBFGS:   88 12:16:18     -154.236359        0.543947
LBFGS:   89 12:16:19     -154.268982        0.339691
LBFGS:   90 12:16:20     -154.304443        0.581547
LBFGS:   91 12:16:21     -154.268936        0.347862
LBFGS:   92 12:16:22     -154.236420        0.543525
LBFGS:   93 12:16:24     -154.269043        0.339413
LBFGS:   94 12:16:25     -154.304489        0.579767
LBFGS:   95 12:16:26     -154.269012        0.346737
LBFGS:   96 12:16:27     -154.236481        0.542530
LBFGS:   97 12:16:28     -154.269119        0.338709
LBFGS:   98 12:16:29     -154.304550        0.577692
LBFGS:   99 12:16:30     -154.269058        0.345539
LBFGS:  100 12:16:31     -154.236542        0.541294
