       Step     Time          Energy          fmax
LBFGS:    0 15:08:44    -4449.916352        1.057558
LBFGS:    1 15:08:57    -4449.948105        0.862480
LBFGS:    2 15:09:10    -4450.000693        0.859882
LBFGS:    3 15:09:23    -4450.043839        0.927972
LBFGS:    4 15:09:36    -4450.082453        0.803438
LBFGS:    5 15:09:48    -4450.121380        0.909233
LBFGS:    6 15:10:02    -4450.197264        1.601583
LBFGS:    7 15:10:14    -4450.289792        2.287941
LBFGS:    8 15:10:28    -4450.401835        2.325170
LBFGS:    9 15:10:39    -4450.532412        1.244747
LBFGS:   10 15:10:49    -4450.619301        0.860856
LBFGS:   11 15:10:59    -4450.693106        0.792003
LBFGS:   12 15:11:09    -4450.734629        0.608801
LBFGS:   13 15:11:19    -4450.746220        0.477301
LBFGS:   14 15:11:28    -4450.756678        0.422645
LBFGS:   15 15:11:38    -4450.771555        0.329776
LBFGS:   16 15:11:48    -4450.783746        0.259595
LBFGS:   17 15:11:57    -4450.788545        0.329750
LBFGS:   18 15:12:07    -4450.794163        0.362040
LBFGS:   19 15:12:13    -4450.806950        0.436031
LBFGS:   20 15:12:20    -4450.820553        0.437914
LBFGS:   21 15:12:26    -4450.835078        0.714995
LBFGS:   22 15:12:33    -4450.856189        0.558163
LBFGS:   23 15:12:39    -4450.861430        1.112890
LBFGS:   24 15:12:46    -4450.904958        0.437285
LBFGS:   25 15:12:52    -4450.928062        0.358304
LBFGS:   26 15:12:58    -4450.939279        0.360071
LBFGS:   27 15:13:05    -4450.948581        0.302530
LBFGS:   28 15:13:11    -4450.956329        0.253883
LBFGS:   29 15:13:17    -4450.961950        0.405878
LBFGS:   30 15:13:23    -4450.964028        0.169921
