       Step     Time          Energy          fmax
LBFGS:    0 15:07:14     -127.108276        4.879035
LBFGS:    1 15:07:17     -127.584358        2.229151
LBFGS:    2 15:07:18     -127.822449        1.240247
LBFGS:    3 15:07:20     -128.006699        1.773111
LBFGS:    4 15:07:21     -128.240433        2.346164
LBFGS:    5 15:07:22     -128.532974        2.340345
LBFGS:    6 15:07:24     -128.856293        2.224132
LBFGS:    7 15:07:25     -129.236237        2.288497
LBFGS:    8 15:07:27     -129.640121        1.912346
LBFGS:    9 15:07:27     -129.899506        1.527334
LBFGS:   10 15:07:28     -130.040710        1.775833
LBFGS:   11 15:07:29     -130.169693        1.641284
LBFGS:   12 15:07:29     -130.323242        0.889080
LBFGS:   13 15:07:30     -130.390656        0.414634
LBFGS:   14 15:07:31     -130.397156        0.400329
LBFGS:   15 15:07:31     -130.415848        0.417904
LBFGS:   16 15:07:32     -130.430817        0.544065
LBFGS:   17 15:07:33     -130.450180        0.561071
LBFGS:   18 15:07:33     -130.468582        0.492543
LBFGS:   19 15:07:34     -130.491592        0.586449
LBFGS:   20 15:07:35     -130.509399        0.592987
LBFGS:   21 15:07:35     -130.573059        1.101252
LBFGS:   22 15:07:36     -130.641327        1.415510
LBFGS:   23 15:07:37     -130.724304        1.054734
LBFGS:   24 15:07:37     -130.772751        0.795687
LBFGS:   25 15:07:38     -130.813751        0.823678
LBFGS:   26 15:07:39     -130.826096        0.980374
LBFGS:   27 15:07:39     -130.870377        1.110566
LBFGS:   28 15:07:40     -130.898453        0.586569
LBFGS:   29 15:07:41     -130.927948        0.425795
LBFGS:   30 15:07:41     -130.936737        0.335325
LBFGS:   31 15:07:42     -130.945648        0.291845
LBFGS:   32 15:07:43     -130.949509        0.195631
