       Step     Time          Energy          fmax
LBFGS:    0 15:22:30    -4449.485893        4.078756
LBFGS:    1 15:22:44    -4449.677064        2.280860
LBFGS:    2 15:22:58    -4449.828085        1.284723
LBFGS:    3 15:23:11    -4449.912675        0.758491
LBFGS:    4 15:23:25    -4449.956225        0.734539
LBFGS:    5 15:23:38    -4449.995971        0.631930
LBFGS:    6 15:23:52    -4450.038730        0.735939
LBFGS:    7 15:24:06    -4450.073480        0.566724
LBFGS:    8 15:24:19    -4450.097908        0.546640
LBFGS:    9 15:24:32    -4450.114922        0.491386
LBFGS:   10 15:24:46    -4450.133552        0.686164
LBFGS:   11 15:24:59    -4450.158482        0.781046
LBFGS:   12 15:25:12    -4450.182816        0.736839
LBFGS:   13 15:25:26    -4450.204616        0.734001
LBFGS:   14 15:25:38    -4450.231965        0.849589
LBFGS:   15 15:25:48    -4450.269903        1.050954
LBFGS:   16 15:25:58    -4450.317561        1.181484
LBFGS:   17 15:26:08    -4450.381089        1.086634
LBFGS:   18 15:26:18    -4450.452142        0.958297
LBFGS:   19 15:26:29    -4450.507082        1.036458
LBFGS:   20 15:26:39    -4450.555742        0.641997
LBFGS:   21 15:26:49    -4450.574707        1.167989
LBFGS:   22 15:26:59    -4450.626369        0.533539
LBFGS:   23 15:27:10    -4450.675290        0.873165
LBFGS:   24 15:27:20    -4450.739308        1.366276
LBFGS:   25 15:27:31    -4450.849001        1.373879
LBFGS:   26 15:27:41    -4450.966798        1.290698
LBFGS:   27 15:27:52    -4450.905328        2.319170
LBFGS:   28 15:28:02    -4451.053816        0.806534
LBFGS:   29 15:28:13    -4451.085264        0.547217
LBFGS:   30 15:28:23    -4451.103095        0.883170
LBFGS:   31 15:28:30    -4451.117899        0.616051
LBFGS:   32 15:28:36    -4451.134087        0.470576
LBFGS:   33 15:28:43    -4451.149722        0.345568
LBFGS:   34 15:28:49    -4451.153944        0.292572
LBFGS:   35 15:28:56    -4451.161484        0.286168
LBFGS:   36 15:29:03    -4451.171205        0.359581
LBFGS:   37 15:29:09    -4451.181109        0.282234
LBFGS:   38 15:29:16    -4451.187071        0.156227
