       Step     Time          Energy          fmax
LBFGS:    0 11:59:48     -151.465088        1.870993
LBFGS:    1 11:59:53     -151.508377        0.958793
LBFGS:    2 11:59:55     -151.546783        1.329214
LBFGS:    3 11:59:58     -151.599472        1.458614
LBFGS:    4 12:00:01     -151.671646        1.120299
LBFGS:    5 12:00:04     -151.719833        0.797799
LBFGS:    6 12:00:06     -151.786697        0.958949
LBFGS:    7 12:00:09     -151.878433        1.559996
LBFGS:    8 12:00:12     -151.994064        1.607599
LBFGS:    9 12:00:15     -152.065811        1.094254
LBFGS:   10 12:00:18     -152.097519        0.600179
LBFGS:   11 12:00:21     -152.105759        0.213763
LBFGS:   12 12:00:23     -152.107452        0.176634
