       Step     Time          Energy          fmax
LBFGS:    0 15:06:55     -132.176239        1.646973
LBFGS:    1 15:06:56     -132.227493        1.079921
LBFGS:    2 15:06:58     -132.319275        0.528791
LBFGS:    3 15:06:59     -132.335266        0.514161
LBFGS:    4 15:07:00     -132.366364        0.598289
LBFGS:    5 15:07:01     -132.411041        1.003601
LBFGS:    6 15:07:03     -132.564774        1.673207
LBFGS:    7 15:07:04     -132.669250        1.402232
LBFGS:    8 15:07:05     -132.728424        1.035944
LBFGS:    9 15:07:06     -132.770264        1.012860
LBFGS:   10 15:07:07     -132.845474        0.833125
LBFGS:   11 15:07:08     -132.884766        0.881075
LBFGS:   12 15:07:09     -132.920212        0.699223
LBFGS:   13 15:07:11     -132.952728        0.499707
LBFGS:   14 15:07:12     -132.966934        0.475496
LBFGS:   15 15:07:13     -132.989349        0.776725
LBFGS:   16 15:07:14     -133.027832        0.995401
LBFGS:   17 15:07:15     -133.052841        0.667707
LBFGS:   18 15:07:16     -133.061371        0.761937
LBFGS:   19 15:07:17     -133.083054        0.493318
LBFGS:   20 15:07:18     -133.093750        0.423529
LBFGS:   21 15:07:19     -133.108093        0.442657
LBFGS:   22 15:07:20     -133.120163        0.407894
LBFGS:   23 15:07:21     -133.127304        0.306415
LBFGS:   24 15:07:21     -133.135345        0.289029
LBFGS:   25 15:07:22     -133.138153        0.218215
LBFGS:   26 15:07:23     -133.142883        0.170957
