       Step     Time          Energy          fmax
LBFGS:    0 14:59:26    -4449.135728        2.102601
LBFGS:    1 14:59:40    -4449.217423        1.201369
LBFGS:    2 14:59:53    -4449.293109        1.207708
LBFGS:    3 15:00:06    -4449.352753        1.016830
LBFGS:    4 15:00:19    -4449.404776        0.832273
LBFGS:    5 15:00:32    -4449.441101        0.911541
LBFGS:    6 15:00:46    -4449.552763        1.559838
LBFGS:    7 15:00:59    -4449.718415        2.490832
LBFGS:    8 15:01:12    -4449.880409        2.911965
LBFGS:    9 15:01:25    -4450.041232        2.962283
LBFGS:   10 15:01:39    -4450.199425        2.627970
LBFGS:   11 15:01:52    -4450.350352        1.771029
LBFGS:   12 15:02:05    -4450.455986        1.021811
LBFGS:   13 15:02:18    -4450.509736        0.817434
LBFGS:   14 15:02:31    -4450.579365        0.777312
LBFGS:   15 15:02:44    -4450.612686        0.570055
LBFGS:   16 15:02:57    -4450.630848        1.123267
LBFGS:   17 15:03:10    -4450.671805        1.029570
LBFGS:   18 15:03:24    -4450.743735        1.147202
LBFGS:   19 15:03:37    -4450.772741        0.669559
LBFGS:   20 15:03:49    -4450.784847        0.580150
LBFGS:   21 15:04:02    -4450.807013        0.498730
LBFGS:   22 15:04:15    -4450.818303        0.427288
LBFGS:   23 15:04:28    -4450.833029        0.375255
LBFGS:   24 15:04:41    -4450.841437        0.350422
LBFGS:   25 15:04:52    -4450.851662        0.312984
LBFGS:   26 15:05:02    -4450.861194        0.353716
LBFGS:   27 15:05:11    -4450.868169        0.503979
LBFGS:   28 15:05:21    -4450.879467        0.529795
LBFGS:   29 15:05:30    -4450.890158        0.386166
LBFGS:   30 15:05:40    -4450.899427        0.208979
LBFGS:   31 15:05:49    -4450.901259        0.161854
