       Step     Time          Energy          fmax
LBFGS:    0 15:05:53     -129.526489        1.997053
LBFGS:    1 15:05:57     -129.582489        1.168569
LBFGS:    2 15:06:00     -129.652435        1.044451
LBFGS:    3 15:06:02     -129.694214        1.190727
LBFGS:    4 15:06:04     -129.789673        1.320495
LBFGS:    5 15:06:06     -129.881226        1.358224
LBFGS:    6 15:06:08     -130.088913        1.522665
LBFGS:    7 15:06:10     -130.247482        1.610138
LBFGS:    8 15:06:12     -130.356476        1.349007
LBFGS:    9 15:06:14     -130.475861        1.363970
LBFGS:   10 15:06:15     -130.548615        0.918899
LBFGS:   11 15:06:17     -130.644623        0.963867
LBFGS:   12 15:06:18     -130.723404        0.980940
LBFGS:   13 15:06:19     -130.748520        0.548463
LBFGS:   14 15:06:21     -130.759979        0.382900
LBFGS:   15 15:06:22     -130.768463        0.377690
LBFGS:   16 15:06:24     -130.782623        0.641412
LBFGS:   17 15:06:25     -130.807877        0.841679
LBFGS:   18 15:06:26     -130.833420        0.660453
LBFGS:   19 15:06:28     -130.846725        0.497168
LBFGS:   20 15:06:29     -130.859375        0.385593
LBFGS:   21 15:06:31     -130.868607        0.388897
LBFGS:   22 15:06:32     -130.882431        0.428892
LBFGS:   23 15:06:33     -130.901520        0.398597
LBFGS:   24 15:06:35     -130.916977        0.586979
LBFGS:   25 15:06:36     -130.930130        0.431889
LBFGS:   26 15:06:37     -130.938263        0.345294
LBFGS:   27 15:06:39     -130.942902        0.308869
LBFGS:   28 15:06:40     -130.946243        0.288302
LBFGS:   29 15:06:42     -130.956116        0.339936
LBFGS:   30 15:06:43     -130.963776        0.338187
LBFGS:   31 15:06:44     -130.974930        0.330337
LBFGS:   32 15:06:46     -130.982117        0.393363
LBFGS:   33 15:06:47     -130.992279        0.481068
LBFGS:   34 15:06:49     -131.010101        0.597980
LBFGS:   35 15:06:50     -131.025635        0.472925
LBFGS:   36 15:06:52     -131.024399        0.686306
LBFGS:   37 15:06:53     -131.039032        0.137177
