       Step     Time          Energy          fmax
LBFGS:    0 11:57:43     -152.930695        9.796325
LBFGS:    1 11:57:45     -153.586792        4.301386
LBFGS:    2 11:57:48     -153.849121        1.253527
LBFGS:    3 11:57:50     -153.916382        0.928521
LBFGS:    4 11:57:52     -153.977646        0.869485
LBFGS:    5 11:57:55     -154.018784        0.817791
LBFGS:    6 11:57:57     -154.063950        0.865638
LBFGS:    7 11:57:59     -154.095200        0.678377
LBFGS:    8 11:58:01     -154.130035        0.535720
LBFGS:    9 11:58:04     -154.138138        0.318798
LBFGS:   10 11:58:06     -154.145126        0.273917
LBFGS:   11 11:58:09     -154.151810        0.262472
LBFGS:   12 11:58:12     -154.157593        0.339291
LBFGS:   13 11:58:14     -154.163513        0.424152
LBFGS:   14 11:58:16     -154.170822        0.326591
LBFGS:   15 11:58:19     -154.184326        0.510691
LBFGS:   16 11:58:21     -154.201630        0.528791
LBFGS:   17 11:58:24     -154.223846        0.599333
LBFGS:   18 11:58:26     -154.235275        0.568261
LBFGS:   19 11:58:28     -154.254059        0.448836
LBFGS:   20 11:58:31     -154.260773        0.309009
LBFGS:   21 11:58:33     -154.275772        0.373090
LBFGS:   22 11:58:35     -154.278976        0.273642
LBFGS:   23 11:58:38     -154.280792        0.196791
