       Step     Time          Energy          fmax
LBFGS:    0 14:35:40     -130.642578        2.159633
LBFGS:    1 14:35:45     -130.699097        1.253118
LBFGS:    2 14:35:47     -130.761353        0.793499
LBFGS:    3 14:35:50     -130.797745        0.579846
LBFGS:    4 14:35:52     -130.814301        0.365186
LBFGS:    5 14:35:54     -130.821503        0.328513
LBFGS:    6 14:35:57     -130.827408        0.214794
LBFGS:    7 14:35:59     -130.832001        0.257143
LBFGS:    8 14:36:02     -130.835251        0.221874
LBFGS:    9 14:36:04     -130.837402        0.150589
