       Step     Time          Energy          fmax
LBFGS:    0 14:59:27    -4445.246543       12.468441
LBFGS:    1 14:59:41    -4447.186851        3.988790
LBFGS:    2 14:59:54    -4447.881905        2.389311
LBFGS:    3 15:00:07    -4448.401719        1.917852
LBFGS:    4 15:00:20    -4448.769486        1.803149
LBFGS:    5 15:00:33    -4449.232614        2.024900
LBFGS:    6 15:00:47    -4449.638982        2.183816
LBFGS:    7 15:01:00    -4449.983379        2.055645
LBFGS:    8 15:01:13    -4450.255150        1.758818
LBFGS:    9 15:01:26    -4450.454440        1.324480
LBFGS:   10 15:01:39    -4450.564923        0.970440
LBFGS:   11 15:01:52    -4450.615812        0.835839
LBFGS:   12 15:02:06    -4450.670413        0.848300
LBFGS:   13 15:02:18    -4450.714934        1.020786
LBFGS:   14 15:02:32    -4450.756651        0.834162
LBFGS:   15 15:02:44    -4450.791597        0.670236
LBFGS:   16 15:02:57    -4450.828159        0.671202
LBFGS:   17 15:03:10    -4450.860183        0.680411
LBFGS:   18 15:03:24    -4450.887191        0.587563
LBFGS:   19 15:03:36    -4450.907256        0.370308
LBFGS:   20 15:03:49    -4450.917926        0.395021
LBFGS:   21 15:04:02    -4450.923395        0.236293
LBFGS:   22 15:04:14    -4450.926108        0.190410
