       Step     Time          Energy          fmax
LBFGS:    0 14:31:56     -129.839813        2.024865
LBFGS:    1 14:31:59     -129.944839        1.491234
LBFGS:    2 14:32:01     -130.107086        1.116169
LBFGS:    3 14:32:03     -130.190384        1.042816
LBFGS:    4 14:32:04     -130.278412        1.031247
LBFGS:    5 14:32:06     -130.363159        0.810146
LBFGS:    6 14:32:08     -130.441559        0.946638
LBFGS:    7 14:32:10     -130.505829        0.839462
LBFGS:    8 14:32:12     -130.536011        0.702838
LBFGS:    9 14:32:14     -130.572891        0.590322
LBFGS:   10 14:32:15     -130.603867        0.549486
LBFGS:   11 14:32:17     -130.621094        0.502612
LBFGS:   12 14:32:19     -130.630890        0.389070
LBFGS:   13 14:32:21     -130.641083        0.491680
LBFGS:   14 14:32:23     -130.654343        0.580731
LBFGS:   15 14:32:25     -130.683914        0.762883
LBFGS:   16 14:32:26     -130.715637        0.840717
LBFGS:   17 14:32:28     -130.755478        0.669073
LBFGS:   18 14:32:30     -130.788025        0.386120
LBFGS:   19 14:32:32     -130.802933        0.291755
LBFGS:   20 14:32:34     -130.807983        0.209749
LBFGS:   21 14:32:35     -130.809479        0.139814
