       Step     Time          Energy          fmax
LBFGS:    0 14:28:00    -4449.493154        2.103642
LBFGS:    1 14:28:12    -4449.595158        1.338423
LBFGS:    2 14:28:24    -4449.688532        1.240170
LBFGS:    3 14:28:36    -4449.773359        1.129618
LBFGS:    4 14:28:49    -4449.868337        0.940080
LBFGS:    5 14:29:01    -4449.920607        0.874683
LBFGS:    6 14:29:13    -4449.988930        1.213099
LBFGS:    7 14:29:25    -4450.055167        1.175096
LBFGS:    8 14:29:37    -4450.104719        0.763361
LBFGS:    9 14:29:48    -4450.137150        0.630884
LBFGS:   10 14:30:00    -4450.171783        0.719184
LBFGS:   11 14:30:12    -4450.221203        0.844452
LBFGS:   12 14:30:24    -4450.283139        0.856735
LBFGS:   13 14:30:36    -4450.338765        1.054608
LBFGS:   14 14:30:49    -4450.393006        0.906925
LBFGS:   15 14:31:01    -4450.434848        0.600339
LBFGS:   16 14:31:13    -4450.454137        0.669544
LBFGS:   17 14:31:25    -4450.474408        0.536679
LBFGS:   18 14:31:34    -4450.484840        0.382568
LBFGS:   19 14:31:43    -4450.488614        0.206561
LBFGS:   20 14:31:52    -4450.490784        0.153031
