       Step     Time          Energy          fmax
LBFGS:    0 11:55:54     -153.542175        2.132146
LBFGS:    1 11:55:56     -153.607956        1.101010
LBFGS:    2 11:55:58     -153.657166        0.647283
LBFGS:    3 11:56:01     -153.690750        0.582963
LBFGS:    4 11:56:02     -153.706650        0.504071
LBFGS:    5 11:56:04     -153.727280        0.596307
LBFGS:    6 11:56:06     -153.743225        0.525465
LBFGS:    7 11:56:08     -153.791031        0.519949
LBFGS:    8 11:56:10     -153.806824        0.484684
LBFGS:    9 11:56:11     -153.837555        0.483352
LBFGS:   10 11:56:13     -153.862930        0.593221
LBFGS:   11 11:56:14     -153.886612        0.908839
LBFGS:   12 11:56:16     -153.911667        0.813887
LBFGS:   13 11:56:17     -153.980377        0.496323
LBFGS:   14 11:56:19     -153.992935        0.515338
LBFGS:   15 11:56:21     -154.007294        0.382020
LBFGS:   16 11:56:23     -154.017227        0.387331
LBFGS:   17 11:56:25     -154.040558        0.739775
LBFGS:   18 11:56:26     -154.055557        0.497552
LBFGS:   19 11:56:28     -154.062866        0.230072
LBFGS:   20 11:56:30     -154.066681        0.220319
LBFGS:   21 11:56:31     -154.069366        0.264704
LBFGS:   22 11:56:33     -154.072784        0.202938
LBFGS:   23 11:56:34     -154.076584        0.164440
