       Step     Time          Energy          fmax
LBFGS:    0 15:54:06     -126.967636        6.957266
LBFGS:    1 15:54:10     -127.896324        4.039382
LBFGS:    2 15:54:12     -128.710983        1.887186
LBFGS:    3 15:54:15     -129.228394        1.564103
LBFGS:    4 15:54:17     -129.548721        1.515852
LBFGS:    5 15:54:19     -129.827560        1.480874
LBFGS:    6 15:54:21     -130.027100        1.470780
LBFGS:    7 15:54:24     -130.195694        1.437299
LBFGS:    8 15:54:26     -130.383606        1.360098
LBFGS:    9 15:54:28     -130.551910        1.024043
LBFGS:   10 15:54:30     -130.663742        1.040562
LBFGS:   11 15:54:32     -130.736359        1.022091
LBFGS:   12 15:54:35     -130.823532        0.925649
LBFGS:   13 15:54:37     -130.860397        0.426587
LBFGS:   14 15:54:39     -130.873474        0.304548
LBFGS:   15 15:54:41     -130.882690        0.323171
LBFGS:   16 15:54:43     -130.887650        0.267563
LBFGS:   17 15:54:45     -130.892990        0.131762
