       Step     Time          Energy          fmax
LBFGS:    0 15:08:44    -4450.314392        2.834648
LBFGS:    1 15:08:58    -4450.392277        0.812425
LBFGS:    2 15:09:11    -4450.421252        0.923379
LBFGS:    3 15:09:24    -4450.493743        0.789503
LBFGS:    4 15:09:37    -4450.532621        0.923456
LBFGS:    5 15:09:50    -4450.581004        0.910669
LBFGS:    6 15:10:04    -4450.630889        0.721090
LBFGS:    7 15:10:17    -4450.677403        0.783463
LBFGS:    8 15:10:30    -4450.705782        0.608280
LBFGS:    9 15:10:41    -4450.719549        0.320736
LBFGS:   10 15:10:50    -4450.724029        0.224646
LBFGS:   11 15:11:00    -4450.726437        0.184304
