       Step     Time          Energy          fmax
LBFGS:    0 14:37:58     -132.688583        1.235456
LBFGS:    1 14:37:59     -132.714890        0.937529
LBFGS:    2 14:38:00     -132.752274        0.473662
LBFGS:    3 14:38:01     -132.765488        0.390955
LBFGS:    4 14:38:02     -132.774704        0.284310
LBFGS:    5 14:38:03     -132.784760        0.385934
LBFGS:    6 14:38:04     -132.793274        0.451419
LBFGS:    7 14:38:06     -132.804123        0.387785
LBFGS:    8 14:38:07     -132.811523        0.292399
LBFGS:    9 14:38:08     -132.814423        0.227726
LBFGS:   10 14:38:10     -132.821609        0.274850
LBFGS:   11 14:38:11     -132.826218        0.325898
LBFGS:   12 14:38:12     -132.837234        0.426984
LBFGS:   13 14:38:13     -132.844574        0.354755
LBFGS:   14 14:38:14     -132.856873        0.298451
LBFGS:   15 14:38:15     -132.860519        0.286021
LBFGS:   16 14:38:16     -132.880692        0.397758
LBFGS:   17 14:38:17     -132.892227        0.504308
LBFGS:   18 14:38:18     -132.897263        0.461658
LBFGS:   19 14:38:19     -132.905060        0.330321
LBFGS:   20 14:38:21     -132.911346        0.231253
LBFGS:   21 14:38:22     -132.915878        0.204474
LBFGS:   22 14:38:23     -132.918488        0.213749
LBFGS:   23 14:38:24     -132.920166        0.143017
