       Step     Time          Energy          fmax
LBFGS:    0 15:42:57     -132.803101        1.497213
LBFGS:    1 15:42:59     -132.836044        1.052004
LBFGS:    2 15:43:01     -132.879456        0.848100
LBFGS:    3 15:43:03     -132.894608        0.580836
LBFGS:    4 15:43:05     -132.929108        0.443950
LBFGS:    5 15:43:07     -132.941956        0.435797
LBFGS:    6 15:43:09     -132.962738        0.642356
LBFGS:    7 15:43:12     -133.001404        0.877996
LBFGS:    8 15:43:15     -133.046814        0.834877
LBFGS:    9 15:43:17     -133.100067        0.406947
LBFGS:   10 15:43:20     -133.110184        0.218080
LBFGS:   11 15:43:22     -133.113052        0.169331
