       Step     Time          Energy          fmax
LBFGS:    0 14:38:18     -130.354645        1.937427
LBFGS:    1 14:38:21     -130.420822        1.080681
LBFGS:    2 14:38:22     -130.473557        0.888330
LBFGS:    3 14:38:24     -130.514740        0.760828
LBFGS:    4 14:38:25     -130.543091        0.777659
LBFGS:    5 14:38:26     -130.568100        0.568661
LBFGS:    6 14:38:28     -130.594757        0.559650
LBFGS:    7 14:38:29     -130.615585        0.659345
LBFGS:    8 14:38:29     -130.638092        0.504778
LBFGS:    9 14:38:30     -130.671616        0.549986
LBFGS:   10 14:38:31     -130.694763        0.562629
LBFGS:   11 14:38:31     -130.712906        0.486822
LBFGS:   12 14:38:32     -130.727005        0.345303
LBFGS:   13 14:38:33     -130.739273        0.500306
LBFGS:   14 14:38:33     -130.753967        0.622489
LBFGS:   15 14:38:34     -130.772552        0.614086
LBFGS:   16 14:38:35     -130.791199        0.432276
LBFGS:   17 14:38:36     -130.804626        0.283471
LBFGS:   18 14:38:36     -130.812317        0.282610
LBFGS:   19 14:38:37     -130.823456        0.445649
LBFGS:   20 14:38:38     -130.842819        0.504608
LBFGS:   21 14:38:38     -130.858902        0.341633
LBFGS:   22 14:38:39     -130.867020        0.304632
LBFGS:   23 14:38:40     -130.871460        0.192874
