       Step     Time          Energy          fmax
LBFGS:    0 12:01:35     -147.718658        9.743573
LBFGS:    1 12:01:37     -149.204559        6.148748
LBFGS:    2 12:01:39     -150.950546        3.664045
LBFGS:    3 12:01:41     -151.968643        1.908686
LBFGS:    4 12:01:43     -152.616943        1.784374
LBFGS:    5 12:01:45     -152.931152        1.456475
LBFGS:    6 12:01:46     -153.094589        2.345939
LBFGS:    7 12:01:48     -153.186691        1.673015
LBFGS:    8 12:01:49     -153.263367        0.562436
LBFGS:    9 12:01:51     -153.281143        0.569289
LBFGS:   10 12:01:52     -153.296021        0.576451
LBFGS:   11 12:01:53     -153.309967        0.508657
LBFGS:   12 12:01:54     -153.327087        0.825832
LBFGS:   13 12:01:55     -153.339722        0.715751
LBFGS:   14 12:01:56     -153.376923        0.695091
LBFGS:   15 12:01:57     -153.413208        0.797053
LBFGS:   16 12:01:58     -153.443497        1.255687
LBFGS:   17 12:01:59     -153.476501        0.932092
LBFGS:   18 12:02:00     -153.532166        0.947671
LBFGS:   19 12:02:02     -153.595093        1.685639
LBFGS:   20 12:02:03     -153.615906        0.682953
LBFGS:   21 12:02:04     -153.622070        0.189562
