       Step     Time          Energy          fmax
LBFGS:    0 15:19:43     -130.328506        5.133100
LBFGS:    1 15:19:46     -130.612015        2.781313
LBFGS:    2 15:19:48     -130.824844        1.116638
LBFGS:    3 15:19:50     -130.877548        0.385147
LBFGS:    4 15:19:53     -130.890259        0.359408
LBFGS:    5 15:19:54     -130.895935        0.310924
LBFGS:    6 15:19:56     -130.904099        0.281500
LBFGS:    7 15:19:58     -130.914185        0.364192
LBFGS:    8 15:20:00     -130.924133        0.361810
LBFGS:    9 15:20:03     -130.930435        0.212795
LBFGS:   10 15:20:04     -130.933075        0.150160
