       Step     Time          Energy          fmax
LBFGS:    0 15:56:46     -130.235870        2.180470
LBFGS:    1 15:56:47     -130.327225        1.832381
LBFGS:    2 15:56:48     -130.487335        1.074046
LBFGS:    3 15:56:48     -130.523376        0.902704
LBFGS:    4 15:56:49     -130.625519        0.719436
LBFGS:    5 15:56:50     -130.706329        0.960672
LBFGS:    6 15:56:51     -130.773575        1.151966
LBFGS:    7 15:56:51     -130.826294        1.044495
LBFGS:    8 15:56:52     -130.933304        0.729015
LBFGS:    9 15:56:53     -130.984512        0.645378
LBFGS:   10 15:56:54     -131.006516        0.496691
LBFGS:   11 15:56:54     -131.021393        0.445337
LBFGS:   12 15:56:55     -131.047363        0.459896
LBFGS:   13 15:56:56     -131.059738        0.498963
LBFGS:   14 15:56:56     -131.082367        0.476006
LBFGS:   15 15:56:57     -131.105820        0.457976
LBFGS:   16 15:56:58     -131.134354        0.624374
LBFGS:   17 15:56:59     -131.156876        0.504712
LBFGS:   18 15:56:59     -131.172943        0.352012
LBFGS:   19 15:57:00     -131.184479        0.371112
LBFGS:   20 15:57:01     -131.193832        0.300396
LBFGS:   21 15:57:01     -131.203247        0.321766
LBFGS:   22 15:57:02     -131.209686        0.208721
LBFGS:   23 15:57:03     -131.213806        0.109786
